category,name,estimate,true,squared_error
scalar,beta,0.7533098545585396,-0.3,1.1094616497101317
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.5001736173359491,0.3,0.04006947707735899
metric,final_loss,0.3120410549617509,,
metric,field_rmse,1.25,,
metric,interaction_fro_error,7.565334474713312,,
latent_diagnostic,estimated_field_max_abs_entry,0.0,,
latent_diagnostic,estimated_field_rank,0.0,0.0,
latent_diagnostic,true_field_max_abs_entry,4.453512650979275,,
latent_diagnostic,true_field_rank,3.0,,
