category,name,estimate,true,squared_error
scalar,beta,-0.2958541556140348,-0.3,1.7188025672639282e-05
scalar,xi,0.8752870950441828,0.8,0.005668146680191805
scalar,eta,0.2974221793184609,0.3,6.645159466170768e-06
metric,final_loss,0.540365473979149,,
metric,field_rmse,0.3337512127044026,,
metric,interaction_fro_error,0.8329873844666578,,
metric,penalized_objective,0.5418071557990939,,
metric,mple_loss_without_penalty,0.540365473979149,,
metric,lambda_uv_ridge,0.005,,
metric,u_frobenius_norm,322.9249078772499,,
metric,v_frobenius_norm,2.2360679774997907,,
metric,effective_rank,5.0,,
latent_diagnostic,estimated_field_max_abs_entry,3.9556720505529626,,
latent_diagnostic,estimated_field_rank,5.0,5.0,
latent_diagnostic,true_field_max_abs_entry,2.906201153196921,,
latent_diagnostic,true_field_rank,5.0,,
